Question;Answer
1.Who invented the C programming language?;Ken Thompson and Dennis Ritchie
2.When was invented the C programming language?;C was developed after B in 1972 at Bell Labs
3.When was invented the B programming language?;B was developed circa 1969 at Bell Labs
4.Where does the term computer bug com from?;From a moth trapped in a relay
5.Who invented the first compiler?;Grace Brewster Murray Hopper invented it
6.Which robot is used in the Domestic Standard Platform League?;The Toyota Human Support Robot
7.Which robot is used in the Social Standard Platform League?;The SoftBank Robotics Pepper
8.How many people live in the Japan?;A little over 80 million
9.What are the colours of the Japanese flag?;Japanese flag is a red circle centred over white
10.What city is the capital of the Japan?;Tokyo
11.What is the highest point in Japan?;The highest point in Japan is Mount Fuji, Which reaches 3776m above level
12.What is a Sakura?;Sakura is the Japanese term for ornamental cherry blossom and its tree
13.Who is the emperor of Japan?;His Majesty Akihito sama is the emperor in Japan since January 7, 1989
14.What's the name of your team?;
15.What time is it?;
16.What day is today?;
17.Do you have dreams?;I dream of Electric Sheep
18.In which city will next year's RoboCup be hosted?;It hasn't been announced yet